"name","cuisine1","cuisine2","cuisine3","vegetarian","address","phone","url","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","price","opentable","menupages"
202,"American",,,,"75 9th Ave, New York, NY 10011","646-638-1173","http://www.nicolefarhi.com/content/restaurants/202-newyork.htm","10am-4pm","8:30am-11pm","8:30am-11pm","8:30am-11pm","8:30am-11pm","8:30am-11pm","9am-11pm","$$","not found","http://newyorkcity.menupages.com/restaurants/202-at-nicole-farhi/menu"
"inoteca e Liquori Bar","Italian",,,,"323 3rd Ave, New York, NY 10010","212-683-3035","http://www.inotecanyc.com/","5:00 PM - 3:00 AM","5:00 PM - 3:00 AM","5:00 PM - 3:00 AM","5:00 PM - 3:00 AM","5:00 PM - 3:00 AM","5:00 PM - 3:00 AM","5:00 PM - 3:00 AM","$$","http://www.opentable.com/inoteca","http://newyorkcity.menupages.com/restaurants/inoteca-2/menu"
"10 Downing Food & Wine","Contemporary","American",,,"10 Downing Street, New York, NY 10014","212-255-0300","http://www.10downingnyc.com/","11:00 AM - 3:00 PM, 6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","6:00 PM - 12:00 AM","6:00 PM - 1:00 AM","6:00 PM - 11:00 AM","11:00 AM - 3:00 PM, 6:00 PM - 1:00 AM","$$$","http://www.opentable.com/10-downing-food-and-wine","http://newyorkcity.menupages.com/restaurants/10-downing/menu"
"15 East","Japanese","Asian",,,"15 E 15th St #B New York, NY 10003","212-647-0015","http://www.15eastrestaurant.com/",,"11:45 AM - 2:00 PM, 6;00 PM - 10:30 PM","11:45 AM - 2:00 PM, 6;00 PM - 10:30 PM","11:45 AM - 2:00 PM, 6;00 PM - 10:30 PM","11:45 AM - 2:00 PM, 6;00 PM - 10:30 PM","11:45 AM - 2:00 PM, 6;00 PM - 10:30 PM","6:00 PM - 10:30 PM","$$$$","http://www.opentable.com/15-east-restaurant","http://newyorkcity.menupages.com/restaurants/15-east/menu"
"21 Club","American",,,,"21 West 52nd St, New York, NY 10019","212-582-7200","http://www.21club.com/web/onyc/21_club.jsp",,"12:00 PM - 2:30 PM, 5:30 PM - 10:00 PM","12:00 PM - 2:30 PM, 5:30 PM - 10:00 PM","12:00 PM - 2:30 PM, 5:30 PM - 10:00 PM","12:00 PM - 2:30 PM, 5:30 PM - 10:00 PM","12:00 PM - 2:30 PM, 5:30 PM - 11:00 PM","12:00 PM - 2:30 PM, 5:30 PM - 11:00 PM","$$$$","http://www.opentable.com/21-club","http://newyorkcity.menupages.com/restaurants/21-club/menu"
"A Voce Columbus","Italian",,,"x","10 Columbus Circle #3, New York, NY 10019","212-823-2523","http://www.avocerestaurant.com/avoce_columbus.html#/home/","11:00 AM - 3:00 PM, 5:00 PM - 10:00 PM","11:30 am - 2:30 PM, 5:00 PM - 10:00 PM","11:30 am - 2:30 PM, 5:00 PM - 10:00 PM","11:30 am - 2:30 PM, 5:00 PM - 10:00 PM","11:30 am - 2:30 PM, 5:00 PM - 11:30 PM","11:30 am - 2:30 PM, 5:00 PM - 11:30 PM","11:30 am - 2:30 PM, 5:00 PM - 11:30 PM","$$$$","http://www.opentable.com/a-voce-columbus","http://newyorkcity.menupages.com/restaurants/a-voce-2/menu"
"A Voce Madison","Italian",,,"x","41 Madison Ave, New York, NY 10010","212-545-8555","http://www.avocerestaurant.com/avoce_madison.html#/home/","5:30 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:30 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:30 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:30 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:30 PM - 11:00 PM","11:45 AM - 2:30 PM, 5:30 PM - 11:00 PM","5:30 PM - 11:00 PM","$$$$","http://www.opentable.com/a-voce-madison","http://newyorkcity.menupages.com/restaurants/a-voce/menu"
"Abboccato","Italian",,,"x","136 West 55th St, New York, NY 10019","212-265-4000","http://www.livanosrestaurantgroup.com/","7:30 AM - 10:30 AM, 4:00 PM - 10:00 PM","7:30 AM - 10:30 AM, 12:00 PM - 3:00 PM, 5:00 PM - 10:00 PM","7:30 AM - 10:30 AM, 12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","7:30 AM - 10:30 AM, 12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","7:30 AM - 10:30 AM, 12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","7:30 AM - 10:30 AM, 12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","7:30 AM - 10:30 AM, 12:00 PM - 3:00 PM, 5:00 PM - 11:00 PM","$$$","http://www.opentable.com/abboccato","http://newyorkcity.menupages.com/restaurants/abboccato/menu"
"ABC Kitchen","Contemporary",,,"x","35 E 18th St, New York, NY 10003","212-475-5829","http://www.abckitchennyc.com","11:00 AM - 3:30 PM, 5:30 PM - 10:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:30 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:30 PM - 10:30 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:00 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:30 PM","12:00 PM - 3:00 PM, 5:30 PM - 11:30 PM","$$$","http://www.opentable.com/abc-kitchen","http://newyorkcity.menupages.com/restaurants/abc-kitchen/menu"
"Aburiya Kinnosuke","Japanese","Asian",,,"213 E 45th St, New York, NY 10017","212-867-5454","http://aburiyakinnosuke.com/","5:30 PM - 11:30 PM","11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM","11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM","11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM","11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM","11:30 AM - 2:30 PM, 5:30 PM - 12:00 AM","5:30 PM - 12:00 AM","$$$","not found","http://newyorkcity.menupages.com/restaurants/aburiya-kinnosuke/menu"
