"name","score","summary","recommended","ts-score","rwd","date","site"
202,"Bib Gourmand","This caf? is much more than a party trick: it's a delicious afternoon respite from a day of shopping.","1) Lentil, Beet, Artichoke salad, 2) Tuna Burger, Ricotta Cheesecake",10,"R",2010-10-01,3
"10 Downing Food & Wine",,,,,,2010-10-01,3
"15 East",,,,,,2010-10-01,3
"21 Club",,,,,,2010-10-01,3
"A Voce Columbus","*","The dining room dazzles, and the kitchen sizzles.  The menu spotlights jazzed up Italian food, Missy Robbins style.","1) Papardelle with rabbit sausage 2) Squid ink tagliatelle in tomato-braised seppie 3) Fennel and chili-marinated chicken cooked under a brick.",8,"R",2010-10-01,3
"A Voce Madison","*","The beat on this modern, upscale Italian restaurant is that its food still has the chops to back up the many accolades it's piled up?Robbins turns out deliciously restrained yet immaculate treats.","1) Pan-roasted mackerel 2) Raviolini with chicken liver and foie gras",8,"R",2010-10-01,3
"Abboccato",,,,,,2010-10-01,3
"ABC Kitchen",,,,,,2010-10-01,3
"Aburiya Kinnosuke",,,,,,2010-10-01,3
"Acappella",,,,,,2010-10-01,3
"Accademia di Vino",,,,,,2010-10-01,3
"Adour","*","This Alain Ducasse stunner Is a culinary temple of old-school luxury.  Elena's primarily French menu draws droves, and does it quite well in fact.","1) Homemade tagliatelle with sea urchin fillets in sea urchin sauce with fennel and peppercorn 2) Veal with demi-glace sauce and wild mushrooms, spinach and gnocchi",8,"R",2010-10-01,3
"Ai Fiori",,,,,,2010-10-01,3
"al Bustan","Bib Gourmand","With a fresh location comes a whole new outlook on food, service and ambience, and suddenly this tired Lebanese favorite?is turning heads again?The food now seems to leap off the plate.","1) Fattoush, 2) Hommos bi lahmeh, 3) foul medamas",10,"R",2010-10-01,3
"Al Di La",,,,,,2010-10-01,3
"Aldea","*","You'll find a lovely, sun-bleached coastal setting and a chef's counter (solo diner's welcome) set so closely to the kitchen you feel like you could touch the chef's toiling just beyond the glass partition.  Mendes' menu is small but focused","1) Charcuterie plate 2) Sea urchin on toast 3) Donut holes with spiced chocolate, grape jam, and apple cider caramel.",8,"R",2010-10-01,3
"Alta",,,,,,2010-10-01,3
"Alto","**","The gorgeous d?cor is sophisticated and contemporary boasting and elegant-but-hip business palette of muted browns and lime green; and the marvelously exquisite cuisine has throngs flocking back for more.","1) Oxtail and Foie Gras Terrine with pear mostarda and pickled chanterelles, 2) Spaghetti with sea urchin, dungeness crab, and pancetta, 3) pached halibut with chickpeas, artichokes, and lemon oil",9,"R",2010-10-01,3
"Amber (West)",,,,,,2010-10-01,3
"Amma",,,,,,2010-10-01,3
"Andys Seafood and Grill","Bib Gourmand","Featuring mouth-watering Taiwanese and Sichuan specialites?Start by asking for the non-American menu?to focus your selections and heighten authenticity.  ","1) Smelly Tofu, 2) Hakku-Style Soup, 3) Steamed Sea Bass",10,"R",2010-10-01,3
"Annisa","*","Anito Lo creates an ever-changing, globally-infused menu that draws as much on her culinary days in France as it does from her travels and Chinese-American heritage.  Bold ingredients from Asia - miso, tofu, and soybean - and afar are treated with delicacy","1) Ruby-red steak tartare 2) Halibut with bacon-miso sauce 3) Poppy seed bread pudding",8,"R",2010-10-01,3
"Apiary",,,,,,2010-10-01,3
"Apizz","Bib Gourmand","Cozy, impossibly quaint New York staple you wish there were more of - with wam fuzzy lighting, good bbackground music, an a young sexy crowd.  ","1) Roasted Shrimp, 2) Mushroom Risotto",10,"R",2010-10-01,3
"Aquagrill",,,,,,2010-10-01,3
"Aquavit",,,,,,2010-10-01,3
"Ardesia",,,,,,2010-10-01,3
"Aroma Kitchen and Wine Bar","Bib Gourmand","Simply decorated with a warm and rustic aesthetic?Substantial menu of small plates and appetizers along with expertly prepared pastas","1) Mondays only - Chef Tasting Menu",10,"R",2010-10-01,3
"Artichoke",,,,,,2010-10-01,3
"Artisanal",,,,,,2010-10-01,3
"Arturos Pizza",,,,,,2010-10-01,3
"Asia de Cuba","Bib Gourmand","Blown away by the glam crowd; contagious happy hour buzz (don't miss the house cocktails); and mouthwatering fusion fare.  ","1) Thai Spiced Salad, 2) Honey and Rum Glazed Pot Roast",10,"R",2010-10-01,3
"Asiate",,,,,,2010-10-01,3
"Atlantic Grill",,,,,,2010-10-01,3
"August",,,,,,2010-10-01,3
"Aureole","*","Chef Christopher Lee oversees Palmer's vision while bringing his own formidable skills to a seasonal, contemporary menu.","1) John Dory 2) Chestnut Ravioli",8,"R",2010-10-01,3
"Aurora",,,,,,2010-10-01,3
"Babbo",,,,,,2010-10-01,3
"Bacaro",,,,,,2010-10-01,3
"Baci and Abbracci","Bib Gourmand","Popular, upbeat Williamsburg eatery features Italian cuisine with a wholehearted emphasis on pizza.  ","1) Pizza, 2) House-Made Bread, 3) Lamb Chops",10,"R",2010-10-01,3
"Back Forty",,,,,,2010-10-01,3
"Bahari estiatorio","Bib Gourmand","Scrumptious menu and?loving family feel.","1) Kriya Pikilia, 2) Skordalia, 3) Tzatziki, 4) Hirines Brizoles, 5) Mousaka",10,"R",2010-10-01,3
"Balaboosta",,,,,,2010-10-01,3
"Balade",,,,,,2010-10-01,3
"Balthazar",,,,,,2010-10-01,3
"Baoguette",,,,,,2010-10-01,3
"Bar Americain",,,,,,2010-10-01,3
"Bar Boulud",,,,,,2010-10-01,3
"Bar Breton",,,,,,2010-10-01,3
"Bar Carrera",,,,,,2010-10-01,3
"Bar Italia",,,,,,2010-10-01,3
"Bar Pitti",,,,,,2010-10-01,3
"Bar Stuzzichini",,,,,,2010-10-01,3
"Barbuto",,,,,,2010-10-01,3
"Barcibo Enoteca",,,,,,2010-10-01,3
"Bark Hot Dogs",,,,,,2010-10-01,3
"Barking Dog",,,,,,2010-10-01,3
"Barney Greengrass",,,,,,2010-10-01,3
"Barrio Chino",,,,,,2010-10-01,3
"Basta Pasta",,,,,,2010-10-01,3
"BCD Tofu",,,,,,2010-10-01,3
"Beacon",,,,,,2010-10-01,3
"Becco",,,,,,2010-10-01,3
"Belleville","Bib Gourmand","Fashions the perfectly French bistro?lovingly well-worn, Belleville is at once comfortable?A welcoming neighborhood place for a romantic dinner, weekend brunch, or small bites and a glass of wine.","1) Croques Madames, 2) Steak Frites.",10,"R",2010-10-01,3
"Benjamin Steakhouse",,,,,,2010-10-01,3
"Beyoglu","Bib Gourmand","Sharing?is the best course of action.  This way, one can fully experience the delicious rane of Mediterranean meze that earns this establishment praise.","1) Yogurt with spinach and garlic, 2) pan-fried eggplant, 3) Grilled shrimp, 4) Marinated Octopus",10,"R",2010-10-01,3
"Bia Garden",,,,,,2010-10-01,3
"Bianca","Bib Gourmand","Perfect for a date or catching up with friends?Bianca's casual personality extends through to its cuisine?Generous portions and a moderately priced Italian-focused wine list.","1) Grilled Radicchio and Prosciutto, 2) Tagliatelle with mushrooms",10,"R",2010-10-01,3
"Bills Bar and Burger",,,,,,2010-10-01,3
"Bistro 33","Bib Gourmand","Fantastic French-Asian fuision bistro in Astoria?effortlessly combines Anza's classical training with a befy of Asian-influenced dishes.","1) Yellowfin Tuna, 2) Alligator Fritters",10,"R",2010-10-01,3
"Black Iron Burger",,,,,,2010-10-01,3
"Blind Tiger",,,,,,2010-10-01,3
"BLT Fish",,,,,,2010-10-01,3
"BLT Market",,,,,,2010-10-01,3
"BLT Prime",,,,,,2010-10-01,3
"BLT Steak",,,,,,2010-10-01,3
"Blue Hill","*","Near-unanimous local obsession? Barber takes time to forge personal relationships with neighboring farmers, resulting in a tightly-knit network of small farms to cull ingredients from, all located within a 250-mile radius of the city.  You can sample Barber's local, seasonal produce in an elegant storybook townhouse.","1) Swiss chard and ricotta ravioli, 2) Sweet Pork with shelled beans and shiitake mushrooms",8,"R",2010-10-01,3
"Blue Hill at Stone Barns",,,,,,2010-10-01,3
"Blue Ribbon Bakery","Bib Gourmand","Each dish here is prepared with outstanding ingredients, rich flavor, and great skill.","1) Blue Ruben, 2) Steamed Lobster, 3) Fried Chicken.",10,"R",2010-10-01,3
"Blue Ribbon Brasserie",,,,,,2010-10-01,3
"Blue Ribbon Sushi",,,,,,2010-10-01,3
"Blue Smoke","Bib Gourmand","Hickory and applewood flavor the 'low and slow' smoked meats in a real barbeque pit?Owner Danny Meyer stamps the restaurant with his signature of gracious service.","1) Rib Sampler, 2) Blue Smoke Burger, 3) Chipotle Chicken Wings, 4) Banana Cream Pie",10,"R",2010-10-01,3
"Blue Water Grill",,,,,,2010-10-01,3
"Bobo",,,,,,2010-10-01,3
"Bocca di Bacco",,,,,,2010-10-01,3
"Bohemian","Bib Gourmand","Despite the stealth locale, the staff couldn't be more welcomimg or courteous?Bohemian's bill of fare features snacks and small plates.","1) washugyu from Japanese Premium beef 2) Mushroom croquette topped with uni.",10,"R",2010-10-01,3
"Bombay Talkie",,,,,,2010-10-01,3
"BONDST (japanese)",,,,,,2010-10-01,3
"Boqueria","Bib Gourmand","This hip, upscale tapas restaurant pays homage to the little bars and restaurants that surround the legendary Mercat de la Boqueria in Barcelona.","1) Baguette slices topped with fried quail egg and chorizo 2) dates stuffed with almonds and cheese 3) lamb meatballs in tomato sauce",10,"R",2010-10-01,3
"Bouley","*","The elegant cuisine is as French as it is decidedly contemporary, influenced by global accents, deftly prepared, and presented with aplomb.  On occasion, some dishes do sacrifice succesiss for ambitious flavour combinations?Ever the mad scientist, Bouley's cuisine is as dizzying as it is delicious...","1) Roasted duck with crushed buckwheat 2) Grapefruit-accented salon ",8,"R",2010-10-01,3
"Braeburn",,,,,,2010-10-01,3
"Brandy Library",,,,,,2010-10-01,3
"Brasserie Ruhlmann",,,,,,2010-10-01,3
"Breslin (The)","*","April Bloomfield is back in her gastropub wheelhouse-and better than ever?The place crowds quickly with a young, lively cluster.","1) Chilled skate and potato terrine 2) Deep Fried pig's foot for two 3) bittersweet chocolate tart",8,"R",2010-10-01,3
"Brgr",,,,,,2010-10-01,3
"Brinkleys",,,,,,2010-10-01,3
"Brooklyn Bowl",,,,,,2010-10-01,3
"Bubbys",,,,,,2010-10-01,3
"Buddakan",,,,,,2010-10-01,3
"Burger and Barrel",,,,,,2010-10-01,3
"Burger Joint",,,,,,2010-10-01,3
"Buttermilk Channel","Bib Gourmand","An inviting, turn-of-the-century maritime feel?Dining room attracts a lively and diverse crowd; regardless of one's tastes, the menu is bound to please.","1) Small bites, 2) Winter Squash tart, 3) Duck Meatloaf, 4) Vegetarian Menu",10,"R",2010-10-01,3
"BXL Cafe",,,,,,2010-10-01,3
"Cafe Asean",,,,,,2010-10-01,3
"Cafe Boulud","*","It's on the plate that things get really vibrant?Gavin Kaysen, offers four roads to travel down the Caf? Boulud menu?there are no roads too traveled by - each and every lane of this mix-and-match menu offers up delcious possibilities.","1) Black squid ink spaghetti nero with mussels, praws, and baby squid 2) Loup de mer in brioche crust",8,"R",2010-10-01,3
"Cafe Cluny",,,,,,2010-10-01,3
"Cafe Cortadito",,,,,,2010-10-01,3
"Cafe Gitane",,,,,,2010-10-01,3
"Cafe Habana",,,,,,2010-10-01,3
"Cafe Luxembourg",,,,,,2010-10-01,3
"Cafe Orlin",,,,,,2010-10-01,3
"Caracas Arepa Bar",,,,,,2010-10-01,3
"Carmines",,,,,,2010-10-01,3
"Casa Mono","*","One of the loveliest corners in Manhattan...Rustic Spanish Charmer?The interior can be a bit cramped.","1) Jamon Iberico 2) Stuffed Piquillo Peppers, 3) Saffron angel hair pasta with chorizo 4) Goat Confit with swiss chard",8,"R",2010-10-01,3
"Cascabel Taqueria",,,,,,2010-10-01,3
"Casellula ",,,,,,2010-10-01,3
"Cask Bar and Kitchen",,,,,,2010-10-01,3
"Char No. 4","Bib Gourmand","This Smith Street watering hole offers and encyclopedic listing of whiskey?the comfortable front bar radiates warmth?the slender dining room in the back is decorated in shades of brown.","1) Cheddar nuggets, 2) Shrimp and grits, 3) honey-glazed chicken",10,"R",2010-10-01,3
