"name","score","summary","recommended","avoid","date","author","url","rwd","ts-score","site"
202,,,,,,,,,,2
"10 Downing Food & Wine","**","Neroni seems to have found his balance. In accordance with the fashions of the day, the menu is filled with rustic specialties...This kind of diligent fussiness can turn cloying on occasion. ","Marinated Brussels sprouts, braised short ribs, Meyer-lemon curd.",,2009-01-25,"Adam Platt","http://nymag.com/restaurants/reviews/53556/","W",5,2
"15 East","**","15 East feels like that rare and exotic thing: a traditional Japanese-run restaurant...produces high-class, no-frills sushi in the classic style"," ""Spaghettini"" of yamaimo, kakiage, sushi omakase","Tako yawarakani, Smoked Duck Breast",2007-05-13,"Adam Platt","http://nymag.com/restaurants/reviews/31787/","W",6,2
"21 Club",,,,,,,,,,2
"A Voce Columbus","***","The room was elegant without being showy, and intimate without feeling too small?the real revelation at the new A Voce is the cooking...a knack for taking simple Italian basics and elevating them to a different plane.","Pork belly with pistachios and figs, mezzaluna ravioli, rabbit with sausage, bomboloni alla Toscana",,2009-11-16,"Adam Platt","http://nymag.com/restaurants/reviews/61838/","W",7,2
"A Voce Madison","**","The first reaction, upon sitting down to dinner at A Voce, is relief. Everything about the place is carefully calibrated to convey a sense of soothing, almost soporific familiarity...The menu is similarly comforting, calculated, and familiar.  it's difficult to be disappointed with any of this food.  ","Vegetable antipasto, duck meatballs, homemade pappardelle, meat ravioli, sea bass in Ligurian clam broth, rustic potatoes, chocolate panna cotta",,2006-05-08,"Adam Platt","http://nymag.com/restaurants/reviews/16837/","W",6,2
"Abboccato","**","Our meal began, and my mood brightened-at first by a little, and then by quite a lot...The menu at Abboccato may be jumbled and overwrought, but the food has a polished, uptown elegance. ","Crudo or quail stuffed with mortadella, pasta with razor clams and bottarga, bucatini carbonara, veal shank, ""Dolce Federico.",,2005-01-10,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/10779/","W",8,2
"ABC Kitchen","***","When the food began to arrive... mutterings were quickly replaced by studious, almost scholarly silences, punctuated by quiet exclamations of pleasure. ","Peekytoe-crab toast, housemade ricotta ravioli, chile-herbed black sea bass, ice-cream sundae. ",,2010-05-10,"Adam Platt","http://nymag.com/restaurants/reviews/65728/","R",9,2
"Aburiya Kinnosuke",,,,,,,,,,2
"Acappella",,,,,,,,,,2
"Accademia di Vino","*","Scattershot approach, some dishes are bound to hit and a few to miss...If you don't mind subterranean dining, and are looking for a decent meal in that great gastronomic wasteland above Bloomingdale's, you could do an awful lot worse."," Eggplant fritters, grilled pizzetta, crispy gnocchi with lamb Bolognese, lamb shank, tarallucci cookies, Meatball Burger, Cuabno Panini","Pork Panini",2007-09-30,"Adam Platt","http://nymag.com/restaurants/reviews/38324/","W",5,2
"Adour","***","You can't help feeling that this time around, the grand culinary maestro has scaled everything down several keys, that he's engaged in a willful, somewhat studied attempt not to be Ducasse...The chef's intent, of course, is to let these ingredients speak for themselve...there's no doubt he succeeds at exactly that.","Foie gras ravioli, duck breast or pork loin, dark-chocolate sorbet.","Lobster Thermidor, Chatham Cod, Beef Tenderloin",2008-03-16,"Adam Platt","http://nymag.com/restaurants/reviews/45077/","W",7,2
"Ai Fiori",,,,,,,,,,2
"al Bustan",,,,,,,,,,2
"Al Di La",,,,,,,,,,2
"Aldea","**","With its pocket-size kitchen, its small but sophisticated menu, and its technically accomplished, low-profile chef, Aldea looks like a prototype of the gourmet restaurant of tomorrow","Sea-urchin toast, shrimp Alhinho, escolar or arroz de pato, rice-pudding tarte, curried popcorn at bar",,2009-06-08,"Adam Platt","http://nymag.com/restaurants/reviews/57035/","W",7,2
"Alta",,,,,,,,,,2
"Alto","***","Given this backdrop, you would expect dinner at Alto to proceed with pomp and ceremony, and indeed it does...you can practically hear the murmurings of ""bravo,"" the faint patter of polite applause.","Polenta integrale or foie gras carpaccio, trenette with mussels and spot prawns, squab, rhubarb strudel. ",,2005-06-05,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/11950/","R",8,2
"Amber (West)",,,,,,,,,,2
"Amma",,,,,,,,,,2
"Andys Seafood and Grill",,,,,,,,,,2
"Annisa","***","It's easy with this kind of auteurish, fusion cooking to produce food that feels dated or self-conscious. But that doesn't happen here?The result is an experience that strikes that delicate (and increasingly rare) balance between modern style, classic technique, and pure, old-fashioned gourmet pleasure. ","Chawan mushi or barbecued squid, miso-marinated sable or pan-roasted farm chicken, salted-butterscotch beignets.","Fluke and Beets",2010-05-30,"Adam Platt","http://nymag.com/restaurants/reviews/66274/","R",8,2
"Apiary","**","Bryan's presence in the kitchen has amped things up to a somewhat startling new level?Dining at this new version of Apiary is bracing and even a little discombobulating, like riding in the back seat of your sister's Mini Cooper","Crisp sweetbreads, roasted chicken or pork chop, panna cotta. ",,2009-06-08,"Adam Platt","http://nymag.com/restaurants/reviews/57035/","W",7,2
"Apizz","Unrated","?pizz's rustic and ingratiating heartbeat depends on a handsome twelve-foot-long brick oven (also a feature at Peasant), in which the temperature rises to nearly 800 degrees, and all cooking is done on the poured-sandstone surface heated by these flames...The fare is even tastier.",,"Skate",2002-12-09,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/n_8074/","W",7,2
"Aquagrill",,,,,,,,,,2
"Aquavit","****","Once you've adjusted to this new aesthetic, however, the food at Aquavit continues to be excellent; in fact, it's arguably better than before. ","Wagyu-beef carpaccio, salmon in brioche crust, apple sorbet.",,2005-05-21,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/11538/","R",9,2
"Ardesia",,,,,,,,,,2
"Aroma Kitchen and Wine Bar",,,,,,,,,,2
"Artichoke","***","Whatever the tiny shop lacks in tables and assorted other restaurant trappings-which is to say, everything-it makes up for in personality, and in very tasty, obviously homespun food?The pizza?undeniably delicious.","A square slice, a round slice, and a cauliflower-fritter chaser.",,2008-04-07,"Robin Raisfeld & Rob Patronite","http://nymag.com/restaurants/reviews/underground/45775/","R",8,2
"Artisanal","**","If cheese is a religion, this is its bustling, Balthazar-gone-midtown house of worship. ","Cheese Fondues, Chocolate Fondue",,,,"http://nymag.com/listings/restaurant/artisanal/","W",6,2
"Arturo's Pizza",,,,,,,,,,2
"Asia de Cuba",,,,,,,,,,2
"Asiate","**","Menu is so filled with eye-widening surprises, Asiate could seat folks on the Time Warner Center's loading dock and Sugie would still rank as the most exciting new chef in town","Salad Soup, Scallops, Clams, Crab Salad, Cote de boeuf, suckling pig, lobster en cocotte","Miso Glazed Cod",2004-01-19,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/n_9729/","W",7,2
"Atlantic Grill",,,,,,,,,,2
"August","*","No-reservations policy...August is worth the wait?who cares about teeny tables and noise that doesn't quite get absorbed by the front room's arched cork ceiling... August feels like a local taverna along the Mediterranean","White Gazpacho, Gnocchi, Croquettes of Serrano Ham, Bucatini","Cod and Pepper Salad, Arugual and Fennel Salad",2005-05-21,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/9970/","W",7,2
"Aureole","*","Designed, to an almost depressing degree, with today's profit-strapped restaurant market in mind?many aspects of the operation seem overwhelmed and even a little confused. ","Sweet-corn soup or gazpacho, pork-belly sliders, tuna Wellington, chocolate torte. ","Egg Noodle Soup, Blue-Crab, Sea Bass",2009-10-12,"Adam Platt","http://nymag.com/restaurants/reviews/59627/","D",3,2
"Aurora",,,,,,,,,,2
"Babbo","***","What ultimately makes it so dizzily fulfilling is that the unexpected ingredients...never succumb to cuteness but rather expand the boundaries of a cuisine and of our desires...has been able to combine the elements of surprise, comfort, delight, and equilibrium throughout its operation","Pastas",,1998-08-17,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/2943/","R",9,2
"Bacaro",,,,,,,,,,2
"Baci and Abbracci",,,,,,,,,,2
"Back Forty",,,,,,,,,,2
"Bahari estiatorio",,,,,,,,,,2
"Balaboosta","**","Admony, who cooked in many highbrow kitchens around the city before opening Ta?m, can do all sorts of imaginative things in her kitchen?Balaboosta is a popular restaurant, so the service can be brusque. ","Crispy cauliflower or shrimp Kata?f, house chicken, Malabi custard, lamb hamburger",,2010-08-01,"Adam Platt","http://nymag.com/restaurants/reviews/67376/","W",7,2
"Balade",,,,,,,,,,2
"Balthazar","***","Balthazar is his masterpiece, an evocation of a Paris brasserie that outglows anything within Brie-tossing distance of the Seine?The only smudge in this postcard is that every American not in Paris seems to want to dine here, meaning tables have been planted everywhere","Balthazar salad, steak tartare, warm goat cheese and caramelized onion Tart, saut?ed skate, bouillabaisse, braised short ribs",,,,"http://nymag.com/listings/restaurant/balthazar01/","W",7,2
"Baoguette",,,,,,,,,,2
"Bar Americain","*"," all-American family picnic pleasers, bristling with assertiveness but not necessarily challenging...None of this is especially complex?Franchise all you want, Flay, but next time, come on, Bobby, light my fire.","Crab-coconut cocktail, smoked-trout salad, rack of pork with apple-ginger chutney, pistachio-chocolate sundae.",,2005-06-12,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/12005/","W",4,2
"Bar Boulud","*","Superb cold meats and p?t?s...After these promising early fireworks, however, the food at Bar Boulud proceeds, curiously, to slide off a cliff. ","P?t? grand-p?re, boudin blanc, dark-chocolate tart or ?le flottante.","Pork Belly, Tartare de Boeuf Parisien, soupe de topinambour",2008-02-18,"Adam Platt","http://nymag.com/restaurants/reviews/44200/","W",5,2
"Bar Breton","*","The main courses at Bar Breton tend to be more spotty and various, and...the service (which is better on crowded evenings, strangely, than slow ones) is a little spotty, too. ","Galette, Suckling pig and braised-lamb galette, boeuf bourguignonne, profiteroles.","Rabbit and Foie Gras Roulade",2009-03-29,"Adam Platt","http://nymag.com/restaurants/reviews/55656/","W",5,2
"Bar Carrera",,,,,,,,,,2
"Bar Italia",,,,,,,,,,2
"Bar Pitti",,,,,,,,,,2
"Bar Stuzzichini","**","The room, for the record, is not one of Bar Stuzzichini's strong points...But what the restaurant lacks in style it makes up for with the easy, even artful simplicity of its cooking...When the room fills up, the wait staff can get overwhelmed, so the best place to dine is at the bar.","Stuzzichini codfish, artichokes, meatballs, or orecchiette with spring peas; lemon chicken or short-rib braciole, olive-oil cake. ",,2007-09-10,"Adam Platt","http://nymag.com/restaurants/reviews/37200/","W",7,2
"Barbuto","*","The small, aggressively seasonal menu (it changes nearly every day) also has a bare-bones, utilitarian feel, although almost everything on it tastes good...None of these dishes are extraordinary, but they're not bad for a casually hip neighborhood joint","Bucatini, Risotto, Bacalao, Chicken, Skate, Veal Sweetbreads, Salmon, Rib Eye",,2003-04-12,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/n_10133/","W",6,2
"Barcibo Enoteca",,,,,,,,,,2
"Bark Hot Dogs",,,,,,,,,,2
"Barking Dog",,,,,,,,,,2
"Barney Greengrass",,,,,,,,,,2
"Barrio Chino",,,,,,,,,,2
"Basta Pasta",,,,,,,,,,2
"BCD Tofu",,,,,,,,,,2
"Beacon",,,,,,,,,,2
"Becco",,,,,,,,,,2
"Belleville",,,,,,,,,,2
"Benjamin Steakhouse",,,,,,,,,,2
"Beyoglu",,,,,,,,,,2
"Bia Garden",,,,,,,,,,2
"Bianca",,,,,,,,,,2
"Bill's Bar and Burger","***","The featured attraction: a tender, juicy, mouthwatering, remarkably flavorful old-fashioned burger...While decidedly a great ?burger, and already one of New York's best, it's not as ?juicy?? and cohesive as its ??Shake Shack rival, and its construction can err?, depending on the night and the cook, on the wrong side of floppy.","Bill's Classic with cheese or Bobcat burger, and a chili dog on the side.","Turkey Burger",2009-10-25,"Robin Raisfeld & Rob Patronite","http://nymag.com/restaurants/reviews/underground/60271/","W",7,2
"Bistro 33",,,,,,,,,,2
"Black Iron Burger",,,,,,,,,,2
"Blind Tiger",,,,,,,,,,2
"BLT Fish",,,,,,,,,,2
"BLT Market","**","An homage to the cult of the artisanal, the farm-raised, and the locally grown?Having labored mightily to establish their Slow Food credentials, Tourondel and his chef de cuisine, David Malbequi, wisely don't overplay their hand. ","Soft-shell crabs, Chatham cod, strawberries with lemon-verbena sorbet.","Figs and Prosciutto, Cobbler",2007-10-07,"Adam Platt","http://nymag.com/restaurants/reviews/38930/","W",7,2
"BLT Prime","Unrated","They don't serve those wonderfully large popovers before each meal like they used to do uptown (you get semolina garlic rolls instead), but otherwise the meal proceeds according to the expansive, expensive, and by-now-familiar BLT formula."," Roasted beets, BLT sandwich, New York strip, leek hash browns, coffee toffee sundae. ",,2005-08-14,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/12457/","W",7,2
"BLT Steak","**","But what makes a good steakhouse, of course, is lots of good meat, and there's plenty of that on the menu at BLT Steak. ","Popovers, Steak Tartare, White Mushroom Soup, Filet Mignon, New York Strip, Rib Eye, Duck Breast, Chicken, Dover Sole","Shrimp Cocktail, Kobe strip-steak",2004-05-03,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/n_10274/","R",8,2
"Blue Hill","***","Blue Hill is an effortless peak to climb. The view is peaceful and quiet. And that's just dandy.","Poached duck, braised and roasted grass-fed lamb",,2000-06-19,"Hal Rubenstein","http://nymag.com/nymetro/food/reviews/restaurant/3397/","R",9,2
"Blue Hill at Stone Barns","Unrated","Chef Barber is a practitioner of the art of gentle cooking...he takes pains to showcase ingredients instead of obliterating them with too much heat and sauce. Sometimes this kind of food can veer into blandness, but in the proper hands it's an education in primary flavors.","Seasonal Items",,2004-07-19,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/9477/","R",8,2
"Blue Ribbon Bakery",,,,,,,,,,2
"Blue Ribbon Brasserie","**","A snappy dining staff that skillfully handles the cacophony without joining in. Tremendously vibrant raw seafood at a fair price. And above all, a menu that has no roots or rhythm other than its chef's passions. ","Sweet and spicy catfish, Paella Basquez, Foie Gras Terrine",,,"Hal Rubenstein","http://nymag.com/listings/restaurant/blue-ribbon-brasserie/","W",7,2
"Blue Ribbon Sushi",,,,,,,,,,2
"Blue Smoke","Unrated","Despite the best efforts of the good people at Blue Smoke, true, old-style barbecue remains elusive.","Split Pea Soup, Beignet Style Fry Bread","Iceberg Lettuce Weedges, Kenny's Chili, Brisket, Texas Beef Ribs, Onion Rings",2002-06-10,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/6087/","W",4,2
"Blue Water Grill",,,,,,,,,,2
"Bobo","*","the proprietors have gone to obsessive lengths to capture the ""Faux Speakeasy"" style...This look has been a hit from the beginning (for the record, Mrs. Platt is a fan), but thus far, the food at Bobo has been a disaster...But if you go to Bobo for the party, you won't be disappointed.","Pork belly, chicken breast or rib eye, citrus cheesecake. ","Seared Quail, Potato-Leek Soup, Pork Chop, Vietnamese Pork Sandwich",2008-10-26,"Adam Platt","http://nymag.com/restaurants/reviews/51527/","W",5,2
"Bocca di Bacco",,,,,,,,,,2
"Bohemian",,,,,,,,,,2
"Bombay Talkie",,,,,,,,,,2
"BONDST",,,,,,,,,,2
"Boqueria",,,,,,,,,,2
"Bouley","**","He soups up his recipes with fancy fusion ingredients and grasps, again and again, for crowd-pleasing combinations.","Return from Chiang Mai, Yellowtail Tuna, Veal Loin, Duck","Garlic Chestnut Soup, Salmon and Green Papaya, Lobster",2002-04-22,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/5906/","W",7,2
"Braeburn","*","A sense of almost somnolent calm...none of the items my little band of tasters and I sampled was bad, and many of them were quite good.","Sea scallops or quail sausage, loin of lamb, Meyer-lemon tart. French toast or poached eggs and duck confit at brunch.","Clam Chowder, Corned Beef of Short Rib",2009-03-15,"Adam Platt","http://nymag.com/restaurants/reviews/55334/","W",7,2
"Brandy Library",,,,,,,,,,2
"Brasserie Ruhlmann",,,,,,,,,,2
"Breslin (The)","**","They've returned to their old gastropub formula and layered it with more of everything...more booze...more butter, salt, and pork ...and much more attitude. ","Salt-cod brandade with bread salad, lamb burger, vinegar chicken or smoked pork belly with butter-whipped potatoes, Eton Mess. ","Ham Hock Soup",2010-01-24,"Adam Platt","http://nymag.com/restaurants/reviews/63213/","W",7,2
"Brgr",,,,,,,,,,2
"Brinkleys",,,,,,,,,,2
"Brooklyn Bowl",,,,,,,,,,2
"Bubby's",,,,,,,,,,2
"Buddakan","**","A steroidal version of an ancient Chinese mansion...The theme is ""modern Asian cuisine,"" which sounds like a recipe for disaster. But Buddakan's non-Chinese chef Michael Schulson produces many dishes that are fresher and more lively than anything you'll find in Chinatown. ","Taro-puff lollipops, tuna spring roll, Chiang Mai chicken, sizzling short ribs, chocolate mille-feuille. ","Dungeness Crab, Lobster",2006-04-23,"Adam Platt","http://nymag.com/restaurants/reviews/16764/","R",8,2
"Burger & Barrel",,,,,,,,,,2
"Burger Joint",,,,,,,,,,2
"Buttermilk Channel",,,,,,,,,,2
"BXL Cafe",,,,,,,,,,2
"Cafe Asean",,,,,,,,,,2
"Cafe Boulud","***","If you hunger for constancy and dignity, it's time for Caf? Boulud. ","Bluefin Tuna, Roasted Duck Breast, Squash Soup, Goat Cheese Souffle, Scallops",,2005-12-05,"Gael Greene","http://nymag.com/nymetro/food/askgael/15188/","R",9,2
"Cafe Cluny","*","There is a pleasant, almost connect-the-dots exactness to the proceedings...But if it's culinary improvisation and sloppy, fat-man largesse you're after, then go someplace else.","Scallops, braised short ribs, profiteroles, short-rib hash",,2006-12-03,"Adam Platt","http://nymag.com/restaurants/reviews/24992/","W",6,2
"Cafe Cortadito","***","Cortadito occupies that sparsely populated middle ground between Latin lunch counter and the full-blown quasi-formal service and stylized tropical vibe of Victor's Cafe","Avocado salad, churrasco, arroz con leche. ",,2007-08-03,"Robin Raisfeld & Rob Patronite","http://nymag.com/restaurants/reviews/underground/35516/","W",7,2
"Cafe Gitane",,,,,,,,,,2
"Cafe Habana",,,,,,,,,,2
"Cafe Luxembourg",,,,,,,,,,2
"Cafe Orlin",,,,,,,,,,2
"Caracas Arepa Bar",,,,,,,,,,2
"Carmine's",,,,,,,,,,2
"Casa Mono","**","It's a modest Spanish restaurant where the dishes are myriad and small, but the food is decidedly large. ","Tripe, Bacalao Croquettes, Quail, Lamb Chops, Patatas Bravas, Charred Scallions",,2004-03-01,"Adam Platt","http://nymag.com/nymetro/food/reviews/restaurant/n_9913/","W",7,2
"Cascabel Taqueria","***","A casual counter-service restaurant?The menu is extensive and, in keeping with the theme, freestyle. By that, we mean more inventive than traditional... the flavor profiles ultimately approach fusionville. ","Sopa de tortilla, Chorizo Taco, Pollo Chipotle, Lengua Taco, Carne Asada","Fish Taco",2009-11-29,"Robin Raisfeld & Rob Patronite","http://nymag.com/restaurants/reviews/underground/62363/","R",8,2
"Casellula ",,,,,,,,,,2
"Cask Bar and Kitchen",,,,,,,,,,2
"Char No. 4",,,,,,,,,,2
"Chef's Table at Brooklyn Fare","***","Elaborate, often ingenious twenty-course small-plates extravaganza...Ramirez's Continental/Japanese technique is impeccable, but also vaguely familiar.","Chef's Menu, brandade, lobster, truffle ravioli, pork ",,2010-11-07,"Adam Platt","http://nymag.com/restaurants/reviews/69358/","R",8,2
"Cho Dang Gol",,,,,,,,,,2
"Chola",,,,,,,,,,2
"Ciano",,,,,,,,,,2
"Citrus Bar and Grill",,,,,,,,,,2
"City Winery",,,,,,,,,,2
"Clinton St Baking Co",,,,,,,,,,2
"Co. ",,,,,,,,,,2
"Colicchio and Sons","*","Colicchio and his talented cohort of cooks are behind the curve, battling to catch up... the overall impression, as one item succeeds another, is of a kitchen throwing as many flavor combinations at the wall as possible, in the hopes that one or two of them will stick.","Butter-poached oysters, lamb loin with merguez sausage, white-chocolate cheesecake. ","Squid, Agnolotti, Roast Sturgeon, Dorade",2010-02-28,"Adam Platt","http://nymag.com/restaurants/reviews/64288/","W",4,2
