"name","score","summary","recommended","avoid","date","author","url","rwd","ts-score","site"
202,"Unrated","The scene was playfully posh?Ms. Wayte cooks a quirky assortment of English, Mediterranean, and Middle Eastern recipes with such seasonal spirit that it sometimes seemed like the meal had been foraged at the greenmarket?Ms. Wayte is a sort of soup genius.  Though the food shines at dinner, the lights are too bright and the music steers toward Euro trance.  The mood at breakfast or lunch, on the other hand, is magical.","1) Soups, 2) Fish and Chips, 3) Pancakes, 4) Ceasar Salad, 5) Ice Cream",,2005-06-29,"Dana Bowen","http://www.nytimes.com/2005/06/29/dining/reviews/29unde.html","W",6,1
"10 Downing Food & Wine","**","The triangle-shaped room has odd, clogged human traffic patterns. The din is excruciating. But the kitchen, run by the restless young chef Jason Neroni, turns out food that makes up for that.","1) Meat Platter, 2) Brussel Sprouts, 3) Sunchoke Soup, 4) Duck Meatball Cassoulet, 5) Squid Ink Agnolotti, 6) Brisket, 7) Roasted Chicken, 8) Goat Cheesecake",,2009-03-11,"Frank Bruni","http://www.nytimes.com/2009/03/11/dining/reviews/11rest.html","W",7,1
"15 East","**","Serious efforts behind a meal at 15 East, which manages to stand out in a crowded marketplace of Japanese restaurants that focus on uncooked seafood.  It does this in part with cooked dishes, like the octopus, that augment the selection of sushi and sashimi. It does this with the sushi and sashimi itself: carefully sourced and carefully assembled, the rice warm, the seasonings sensible.  It does this with gracious service...","1) Slow Poached Octopus, 2) Shrimp 3) Scallop in Yuzu, 4) Soba, 5) Tuna Tartare, 6) Squid Ink Risotto","1) BBQ Frog Legs, 2) Grilled Bigeye Tuna Waldorf",2007-07-11,"Frank Bruni","http://www.nytimes.com/2007/07/11/dining/reviews/11rest.html","W",7,1
"21 Club",,,,,,,,,,1
"A Voce Columbus","**","The chef Missy Robbins is a cool character. She cooks rustic Italian food and sends it out of the kitchen looking like modernist plate paintings, little sculptures, edible art. The colors delight, and the flavors redouble the feeling: salt against acid against the sweet meat. Ms. Robbins, who has a sure hand with pasta, is an excellent chef. She didn't come here to mess around. But make no mistake. A Voce is a corporate enterprise, and feels like it. Service is clinical, almost silent, beyond language. ","1) Salumi, 2) verdure, 3)salt cod, 4) calamari, c5) assoncini, 6) spaghetti alla chitarra, 7) chicken under a brick, 8) branzino.","1) Beef Carpaccio, 2) Trout",2009-11-25,"Sam Sifton","http://www.nytimes.com/2009/11/25/dining/reviews/25rest.html","W",6,1
"A Voce Madison","***"," A Voce concerns itself more with sating than wowing you, and does so with seasonal ingredients, full-flavored dishes and superior cooking...The stylized, contemporary room doesn't really go with the food, but there are enormously comfortable swivel chairs as a compensation, along with a thoughtful wine list... All in all, the pricing of dishes - some strikingly reasonable, some much less so - didn't add up.","1) Sheep's Milk Ricotta, 2) Duck Meatballs, 3) Asparagus, 4) Gnocchi, 5) Duck Agnolotti, 6) Black Bass, 7) Chicken Cacciatore",,2006-06-10,"Frank Bruni","http://www.nytimes.com/2006/05/10/dining/reviews/10rest.html","R",8,1
"Abboccato","**","Cooking some interesting but seldom seen regional dishes and creating a few delightful combinations that would never see the light of day in Italy...It's a bit of a jumble, but often a pleasing one...The kitchen falls down on the not-so-simple task: the use of sea salt... There is not always a steady hand at the stove..You can't sprinkle coarse salt the way you sprinkle Morton's. Not everyone wants a burst of salt in a bite. But in other dishes it was completely missing.","1) Quail, 2) Foie Gras, 3) Carpaccio di Pomodoro, 4) Ricotta Soup, 5) Black Bass","1) Peperonata, 2) Potatoes with Pancetta and Onion, 3) Rack of Lamb or Two",2005-10-19,"Marian Burros","http://www.nytimes.com/2005/10/19/dining/reviews/19rest.html","W",7,1
"ABC Kitchen","**"," It's haute organic and Hamptons sustainable, airy and open and relaxed the way the second homes of the wealthy often are, with LED-style lighting over warm floors. Ingredients for the cooking, as a position paper on the back of the chic cardboard menu declares, are ""consciously sourced""... ABC Kitchen pulls off the magic trick. The food is great and not terribly expensive. It is a pretty room. The crowd runs high-wattage with net worth to match.","1) Chicken Liver Toast, 2) Crab Toast, 3) Shaved Fluke, 4) Sugar Snap Pea Salad, 5) Cavatelli, 6) Pizza, 7) Sea Bass, 8) Halibut, 9) Hamburger","1) Calamari Coated in Pretzel, 2) Clam Pizza",2010-06-02,"Sam Sifton","http://www.nytimes.com/2010/06/02/dining/reviews/02rest.html","R",7.5,1
"Aburiya Kinnosuke","*","At Aburiya Kinnosuke, in Midtown, you won't spot any celebrities, the way you might at lavish, trendy downtown Japanese pleasure palaces like Megu or Nobu. What you will see are tables filled with Japanese businessmen, getting something here that's more Tokyo than TriBeCa...Know that you'll encounter some unpleasant flavor sensations, along with servers who don't speak much English and sometimes don't pay enough attention.","1) Black Sesame Tofu, 2) Grilled Chicken Wings and Thighs, 3) Pork Cheek, 4) Gomoku Kinpira, 5) Sea Eel, 6) Tuna Neck","1) Dried Baby Squid, 2) Shichirin Grill Options, 3) ",2005-11-16,"Frank Bruni","http://www.nytimes.com/2005/11/16/dining/reviews/16rest.html","W",7,1
"Acappella",,,,,,,,,,1
